year,month,client_name,count(s.id),sum(s.page_length)
2015,3,4Discovery,3,10
2015,3,Bryan Cave,2,43
2015,3,Chicago Public Schools,15,96
2015,3,Katten,20,205
2015,3,Schiff,11,72
2015,3,Siprut,18,93
2015,3,Saper Law 1,4,41
2015,3,Barack Ferrazzano,138,1093
2015,3,Krieg DeVault,12,144
2015,3,Rooney Rippie,5,225
2015,3,Nuzzo and Roberts,53,351
2015,3,Valorem Law,8,144
2015,3,Sudekum,80,513
2015,3,Bartlit,3,22
2015,3,kCura,17,108
2015,3,Much Shelist,12,58
2015,3,Sutter & Ori,14,191
2015,3,Jenner,16,282
2015,3,Fitch Even,21,193
2015,3,Brinks Gilson,13,125
2015,3,Callahan,3,33
2015,3,Dykema,11,97
2015,2,Foley,1,2
2015,2,Callahan,2,4
2015,2,Sidley,1,2
2015,2,Dykema,1,2
2015,2,Huron,18,123
2015,2,CBOE,23,216
2015,2,DLA Piper,4,22
2015,2,Saper Law 1,3,12
2015,2,Edelson PC,5,18
2015,2,Chicago Inspector General,2,8
2015,2,Clark Hill,3,6
2015,2,Alloy,3,10
2015,2,Salvi,33,270
2015,2,Siprut,17,139
2015,2,Much Shelist,28,247
2015,2,Nuzzo and Roberts,11,45
2015,2,SMI Aware,111,4044
2015,1,Dinin Law,1,11
2015,1,Nuzzo and Roberts,6,189
2015,1,Chicago Inspector General,5,20
2015,1,Siprut,5,21
2015,1,SMI Aware,68,7183
2014,12,Sidley,5,360
2014,12,Alloy,9,95
2014,12,SMI Aware,73,2343
2014,12,Gladstone Michele Weisberg Willner & Sloane,4,71
2014,12,Clark Hill,7,58
2014,12,Siprut,27,114
2014,12,Nuzzo and Roberts,7,757
2014,11,Gladstone Michele Weisberg Willner & Sloane,11,404
2014,11,Callahan,24,707
2014,11,Siprut,27,170
2014,11,Nuzzo and Roberts,4,105
2014,11,DLA Piper,2,6
2014,11,Saper Law 1,2,6
2014,11,Dinin Law,2,6
2014,11,SMI Aware,11,91
2014,11,FTD,2,6
2014,11,Norvell IP,3,120
2014,11,Chicago Inspector General,4,11
2014,11,Kearns,2,6
2014,11,Romar Capital,2,6
2014,11,Caputo Law Firm,57,160
2014,11,Clark Hill,2,6
2014,11,Sidley,2,6
2014,11,Alloy,2,6
2014,10,Caputo Law Firm,1,5
2014,10,Sidley,4,34
2014,10,Edelson PC,3,16
2014,10,DLA Piper,14,65
2014,10,Norvell IP,2,4
2014,10,Alloy,7,40
2014,10,Foley,1,1
2014,10,Ethical Hacker,3,6
2014,10,SMI Aware,62,1962
2014,10,Chicago Inspector General,13,98
2014,10,Clark Hill,11,174
2014,10,Saper Law 1,11,138
2014,10,Kearns,5,25
2014,10,Nuzzo and Roberts,17,66
2014,9,Kearns,10,29
2014,9,Caputo Law Firm,10,47
2014,9,Chicago Inspector General,6,30
2014,9,Alloy,7,30
2014,9,Ethical Hacker,8,20
2014,9,Dinin Law,31,96
2014,9,Romar Capital,4,17
2014,9,Clark Hill,180,1136
2014,9,Nuzzo and Roberts,45,528
2014,8,Ethical Hacker,1,13
2014,8,Icard Merrill,4,17
2014,8,"Nuzzo and Roberts, LLC",14,63
2014,8,Clark Hill,7,29
2014,8,Romar Capital,11,59
2014,8,Saper Law 1,13,348
2014,8,Chicago Inspector General,19,225
2014,8,Nuzzo and Roberts,29,372
2014,8,Sidley,17,67
2014,7,Sidley,13,55
2014,7,Foley,5,11
2014,7,Chicago Inspector General,19,105
2014,7,Nuzzo and Roberts,17,82
2014,7,"Swanson, Martin & Bell, LLP",3,11
2014,6,Norvell IP,1,3
2014,6,Saper Law 1,36,334
2014,6,Royce Hood Law,2,84
2014,6,Nuzzo and Roberts,38,230
2014,5,Royce Hood Law,12,42
2014,5,Saper Law 1,17,289
2014,5,Saper Law 2,3,107
2014,5,Norvell IP,10,130
2014,5,Nuzzo and Roberts,32,888
2014,4,Clark Hill,1,3
2014,4,Nuzzo and Roberts,10,35
2014,4,Nixon Peabody,29,113
2014,3,DLA Piper,64,444
2014,3,FTD,3,5
2014,3,"Saper Law, LLC",10,195
2014,3,Bracewell & Giuliani,17,61
2014,3,PaskyIP,12,37
2014,2,FTD,13,61
2013,12,"Saper Law, LLC",8,72
2013,11,"Saper Law, LLC",37,11
